"Facility Name",Facility,FacilityType,Owner,Developer,EnergyPurchaser,Place,GeneratingCapacity,NumberOfUnits,CommercialOnlineDate,WindTurbineManufacturer,FacilityStatus,Coordinates
"Air Force (Laramie)","Air Force (Laramie)",,,,,"Laramie County, WY","2 MW",1,2009,Gamesa,,"41.1783°, -104.8847°"
"Airforce Wind Farm",Airforce,"Community Wind",Airforce,Airforce,,WY,"2 MW",1,2009,Gamesa,"In Service","43.0758°, -107.2903°"
"Akron-Westfield School District Wind Farm","Akron-Westfield School District","Community Wind","Akron-Westfield Comm. Schools",,"Alliant/IES Utilities","Akron-Westfield IA","0.6 MW",1,1999,Vestas,"In Service","42.7858°, -96.5836°"
"Alaska Village Cooperative Wind Farm","Alaska Village Cooperative","Commercial Scale Wind","Alaska Village Elec Coop","Kotzebue Electric Assn Inc","Alaska Village Elec Coop","Toksook Bay AK","0.3 MW",3,2005,"Northern Power Systems","In Service","60.5314°, -165.1089°"
Alexander,Alexander,,,,,"Rush County, KS","48.3 MW",21,2015,Siemens,,"38.4297°, -99.5369°"
"Alite Wind Farm","Alite Wind Farm","Commercial Scale Wind","Terra-Gen Power LLC","Allco/Oak Creek Energy","California Portland Cement","Mojave CA","24 MW",8,2008,Vestas,"In Service","35.0406°, -118.2994°"
"Allegheny Ridge Wind Farm","Allegheny Ridge wind farm","Commercial Scale Wind","GE Energy",Gamesa,"First Energy Corp.","Cambria and Blair Counties PA","80 MW",40,2007,Gamesa,"In Service","40.3972°, -78.5461°"
"Alta I","Alta I","Commercial Scale Wind","Terra-Gen Power LLC","Terra-Gen Power LLC","Southern California Edison Co","Tehachapi Pass CA","150 MW",100,2010,"GE Energy","In Service","35.0192°, -118.3031°"
"Alta II (Vestas)","Alta II (Vestas)","Commercial Scale Wind","Terra-Gen Power LLC","Terra-Gen Power LLC","Southern California Edison Co","Tehachapi Pass CA","150 MW",50,2010,Vestas,"In Service","35.0192°, -118.3031°"
"Alta III","Alta III","Commercial Scale Wind","Terra-Gen Power LLC","Terra-Gen Power LLC","Southern California Edison Co","Tehachapi Pass CA","150 MW",50,2011,Vestas,"In Service","35.0192°, -118.3031°"
"Alta IV","Alta IV","Commercial Scale Wind","Terra-Gen Power LLC","Terra-Gen Power LLC","Southern California Edison Co","Tehachapi Pass CA","102 MW",34,2011,Vestas,"In Service","35.0192°, -118.3031°"
"Alta Mesa I Wind Farm","Alta Mesa I","Commercial Scale Wind",SeaWest,SeaWest,"Southern California Edison Co","San Gorgonio CA","18.72 MW",117,,Danwin,"In Service","33.9094°, -116.7339°"
"Alta Mesa II Wind Farm","Alta Mesa II","Commercial Scale Wind",SeaWest,SeaWest,"Southern California Edison Co","San Gorgonio CA","9.45 MW",42,,Vestas,"In Service","33.9094°, -116.7339°"
"Alta V","Alta V","Commercial Scale Wind","Terra-Gen Power LLC","Terra-Gen Power LLC","Southern California Edison Co","Tehachapi Pass CA","168 MW",56,2011,Vestas,"In Service","35.0192°, -118.3031°"
"Alta VI (partial)","Alta VI (partial)",,,,,"Kern County, CA","132 MW",44,2011,Vestas,,"35.0233°, -118.2986°"
"Alta VIII (partial)","Alta VIII (partial)",,,,,"Kern County, CA","129 MW",43,2011,Vestas,,"35.0042°, -118.2375°"
"Alta X","Alta X",,,,,"Kern County, CA","136.8 MW",48,2013,"GE Wind",,"35.1083°, -118.2158°"
"Alta XI","Alta XI",,,,,"Kern County, CA","69.7 MW",41,2013,"GE Wind",,"35.0736°, -118.3831°"
"Altech Energy Wind Farm","Altech Energy Ltd","Commercial Scale Wind",SeaWest,SeaWest,"Pacific Gas & Electric Co","Altamont Pass CA","5.76 MW",144,,Enertech,"In Service","37.7347°, -121.6519°"
"Altech III (a)","Altech III","Commercial Scale Wind",SeaWest,SeaWest,"Southern California Edison Co","San Gorgonio CA","3.31 MW",51,,"NEG Micon","In Service","33.9094°, -116.7339°"
"Altech III (b)","Altech III","Commercial Scale Wind",SeaWest,SeaWest,"Southern California Edison Co","San Gorgonio CA","21.71 MW",201,,"NEG Micon","In Service","33.9094°, -116.7339°"
"Amazon Wind Farm (Fowler Ridge)","Amazon Wind Farm (Fowler Ridge)",,,,,"Benton County, IN","149.5 MW",65,2015,Siemens,,"40.6333°, -87.3542°"
"Amazon Wind Farm Texas","Amazon Wind Farm Texas",,,,,"Scurry County, TX","253 MW",110,2017,"GE Wind",,"32.8825°, -100.9364°"
"Amazon Wind Farm US Central","Amazon Wind Farm US Central",,,,,"Paulding County, OH","100.8 MW",48,2016,Gamesa,,"41.1481°, -84.7347°"
"Amazon Wind Farm US East","Amazon Wind Farm US East",,,,,"Perquimans County, NC","208 MW",104,2017,Gamesa,,"36.2908°, -76.4744°"
"American Windmill Museum Wind Farm","American Windmill Museum","Community Wind","American Wind Power Center","American Wind Power Center","American Windmill Museum","Lubbock TX","0.66 MW",1,2005,Vestas,"In Service","33.5636°, -101.8689°"
"Anacacho Wind Farm",Anacacho,"Commercial Scale Wind","E.On Climate & Renewables","E.On Climate & Renewables","Undisclosed PPA","West of Uvalde, Texas","99 MW",55,2012,Vestas,"In Service","29.1922°, -100.1922°"
"Anderson Wind Project","Anderson Wind Project",,,,,"Chaves County, NM","4.95 MW",3,2014,Vestas,,"33.0328°, -103.8556°"
"Anheuser-Busch Fairfield","Anheuser-Busch Fairfield","Community Wind","Foundation Windpower","Foundation Windpower",Anheuser-Busch,"Fairfield CA","1.5 MW",1,2011,"GE Energy","In Service","38.2322°, -122.0892°"
"Antelope Ridge Wind Farm","Antelope Ridge Wind Farm","Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy",,"Union County OR","300 MW",164,,Undetermined,Decommissioned,"45.2078°, -117.9142°"
"Apex Offshore Phase 1","Apex Offshore Phase 1","Offshore Wind","Apex Wind Energy","Apex Offshore Wind / Outer Banks Ocean Energy Corp / Maersk Line Limited",,"Atlantic Ocean NC","600 MW",165,,,Proposed,"34.1689°, -77.1200°"
"Apex Offshore Phase 2","Apex Offshore Phase 2","Offshore Wind","Apex Wind Energy","Apex Offshore Wind / Outer Banks Ocean Energy Corp / Maersk Line Limited",,"Atlantic Ocean NC","1300 MW",360,,,Proposed,"34.1689°, -76.9100°"
"Apogee Stadium Wind","Apogee Stadium Wind",,,,,"Denton County, TX","0.3 MW",3,2012,"Northern Power Systems",,"33.2011°, -97.1611°"
"Appalachian State","Appalachian State","Definition:Small Scale Wind",,,,"Boone NC","0.1 MW",1,2009,"Northern Power Systems","In Service","36.2133°, -81.6922°"
"Apple Blossom","Apple Blossom",,,,,"Huron County, MI","100.05 MW",29,2017,Vestas,,"43.8167°, -83.3031°"
"Applied Materials Wind Turbine","Applied Materials","Community Wind","Applied Materials","Applied Materials","Applied Materials","Gloucester MA","2.5 MW",1,2012,Kenersys,"In Service","42.6289°, -70.6517°"
"Aragonne Mesa Wind Farm","Aragonne Mesa","Commercial Scale Wind","GE Energy","Babcock & Brown","Arizona Public Service","Guadalupe County NM","90 MW",90,2006,Mitsubishi,"In Service","34.7969°, -105.0542°"
"Arbuckle Mountain","Arbuckle Mountain",,,,,"Murray County, OK","100 MW",50,2015,Vestas,,"34.3786°, -97.2061°"
"Archbold Local Schools Wind Turbine","Archbold Local Schools Wind Turbine","Community Wind","Archbold Area Local Schools District","Archbold Area Local Schools District","Archbold Area Local Schools District","Archbold OH","0.75 MW",1,2012,Aeronautica,"In Service","41.5156°, -84.3161°"
"Arends Brothers","Arends Brothers","Definition:Small Scale Wind",,,,"Ashmore IL","0.1 MW",1,2009,"Northern Power Systems","In Service","39.5314°, -88.0297°"
"Armenia Mountain Wind Energy Project","Armenia Mountain Wind Energy Project","Commercial Scale Wind","AES Armenia Mountain Wind",AES,"Old Dominion Electric","Tioga and Bradford Counties PA","101 MW",67,2010,"GE Energy","In Service","41.7633°, -76.8425°"
"Arnold Wind Farm","Arnold Wind Farm","Community Wind",,"David Arnold",,"Wilmont MN","1.65 MW",1,2005,Vestas,"In Service","43.7619°, -95.8275°"
"Ashtabula - NextEra Wind Farm","Ashtabula - NextEra","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources",,"Northeastern Barnes County- ND ND","148.5 MW",99,2008,"GE Energy","In Service","47.1231°, -97.8950°"
"Ashtabula - Otter Tail Wind Farm","Ashtabula - Otter Tail","Commercial Scale Wind","Otter Tail Power Co.","NextEra Energy Resources","Otter Tail Power Co.","Northeastern Barnes County- ND ND","48 MW",32,2008,"GE Energy","In Service","47.1231°, -97.8950°"
"Ashtabula II Wind Farm","Ashtabula II","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Minnkota Power Cooperative","Griggs & Steele Counties ND","120 MW",80,2009,"GE Energy","In Service","47.1331°, -97.9506°"
"Ashtabula III","Ashtabula III","Commercial Scale Wind",,"NextEra Energy Resources",,"Barnes County ND","62.4 MW",39,2010,"GE Energy","In Service","47.1353°, -97.9353°"
"August Wind Energy LLC","August Wind Energy LLC",,,,,"Taylor County, IA","1.79 MW",1,2017,"GE Wind",,"40.7650°, -94.4756°"
"Aurora Wal Mart Wind Farm","Aurora Wal Mart","Definition:Small Scale Wind","Aurora Wal Mart","Aurora Wal Mart","Aurora Wal Mart","Aurora CO","0.05 MW",1,2005,"Bergey Windpower","In Service","39.7608°, -104.7731°"
"Auwahi Wind","Auwahi Wind","Commercial Scale Wind","BP Wind Energy / Sempra Energy","Sempra Generation","Maui Electric Co","Maui HI","24 MW",8,2012,Siemens,"In Service","20.5964°, -156.3183°"
BLM-JCI,BLM-JCI,"Definition:Small Scale Wind",BLM-JCI,,BLM-JCI,"Rawlins WY","0.1 MW",1,2010,"Northern Power Systems","In Service","41.7975°, -107.2417°"
"BTI Wind","BTI Wind",,,,,"Kiowa County, KS","0.068 MW",2,2010,Endurance,,"37.6069°, -99.2697°"
Baffin,Baffin,,,,,"Kenedy County, TX","202 MW",101,2015,Gamesa,,"27.1436°, -97.6064°"
"Baileyville Wind Project","Baileyville Wind Project","Commercial Scale Wind","Apex Wind Energy","Apex Wind Energy",,"Ogle County IL","80 MW",40,,Gamesa,"Under Construction","41.9228°, -89.3006°"
"Baldwin Wind Farm","Baldwin Wind Farm","Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Basin Electric","Burleigh County near Wilton ND","102.4 MW",64,2010,"GE Energy","In Service","47.0594°, -100.7761°"
"Balko Wind","Balko Wind",,,,,"Beaver County, OK","299.7 MW",162,2015,"GE Wind",,"36.5353°, -100.7889°"
"Banner Wind Project","Banner Wind Project","Commercial Scale Wind","Bering Straits Native Corporation and Sitnasuak Native Corporation","Western Community Energy","Nome Joint Utilities","Nome AK","0.9 MW",18,2008,Entegrity,"In Service","64.5075°, -165.4192°"
"Bartlett's Ocean View Wind Farm","Bartlett's Ocean View Wind Farm","Community Wind","Bartlett's Ocean View Wind Farm",,"Bartlett's Ocean View Wind Farm","Nantucket MA","0.25 MW",1,2009,"Wind Energy Solutions","In Service","41.2592°, -70.1319°"
"Barton Chapel Wind Farm","Barton Chapel Wind","Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",,"Jack County TX","120 MW",60,2009,Gamesa,"In Service","33.0733°, -98.3008°"
"Barton Wind Farm","Barton Wind Farm","Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables",NIPSCO,"Worth County IA","160 MW",80,2009,Gamesa,"In Service","43.3658°, -93.0953°"
"Baseline Wind Energy Facility","Baseline Wind Energy Facility","Commercial Scale Wind","First Wind","First Wind",,"Gilliam County OR","500 MW",250,,Undetermined,Proposed,"45.6269°, -120.1628°"
"Bayonne Wind Energy Project","Bayonne Wind Energy Project","Community Wind","Bayonne Municipal Utility Authority","Bayonne Municipal Utility Authority",,"Bayonne NJ","1.5 MW",1,2012,Leitner-Poma,"In Service","40.6528°, -74.1178°"
"Bayshore Regional Sewerage Authority (BRSA)","Bayshore Regional Sewerage Authority (BRSA)","Community Wind","Bayshore Regional Sewerage Authority (BRSA)","Bayshore Regional Sewerage Authority (BRSA)","Bayshore Regional Sewerage Authority (BRSA)","Union Beach NJ","1.5 MW",1,,"GE Energy",Proposed,"40.4497°, -74.1764°"
"Bear Creek Wind Farm","Bear Creek","Commercial Scale Wind","Babcock & Brown owns majority","CEI Iberdrola","PPL Corp.","Near Bear Creek Village PA","24 MW",12,2006,Gamesa,"In Service","41.1800°, -75.7217°"
"Bearkat I","Bearkat I",,,,,"Glasscock County, TX","196.65 MW",57,2017,Vestas,,"31.7931°, -101.5467°"
"Beaulieu Wind Farm",Beaulieu,"Definition:Small Scale Wind","Private owner","Private owner","Maine Public Power","Aroostook County ME","0.05 MW",1,1999,"Atlantic Orient Co.","In Service","46.5514°, -67.8083°"
"Beaver Creek","Beaver Creek",,,,,"Greene County, IA","170 MW",85,2017,Vestas,,"42.1136°, -94.1722°"
"Beebe 1B","Beebe 1B",,,,,"Gratiot County, MI","50.4 MW",21,2014,Nordex,,"43.3181°, -84.5231°"
"Beebe Community Wind","Beebe Community Wind","Commercial Scale Wind","Exelon Wind",Nordex,"Consumers Energy","Ithaca MI","81.6 MW",34,2012,Nordex,"In Service","43.3061°, -84.5722°"
"Beech Ridge Energy Wind Farm","Beech Ridge Energy","Commercial Scale Wind",Invenergy,Invenergy,"AEP-Appalachian Power","Greenbrier County WV","84 MW",56,,"GE Energy","In Service","38.0669°, -80.4986°"
"Beethoven Wind, LLC","Beethoven Wind, LLC",,,,,"Hutchinson County, SD","79.55 MW",43,2015,"GE Wind",,"43.2011°, -98.0528°"
"Bellevue High School","Bellevue High School","Definition:Small Scale Wind","Bellevue High School",,"Bellevue High School","Bellevue WA","0.1 MW",1,2010,"Northern Power Systems","In Service","41.2825°, -82.8458°"
"Bennett Creek","Bennett Creek","Commercial Scale Wind","Idaho Windfarms / John Deere","Idaho Windfarms",,"Elmore County ID","21 MW",10,2009,"Suzlon Energy Company","In Service","43.0467°, -115.4856°"
"Benson Creek","Benson Creek",,,,,"Baker County, OR","10 MW",5,2017,"GE Wind",,"44.4161°, -117.2739°"
"Bent Tree Wind Farm","Bent Tree Wind Farm","Commercial Scale Wind","Wisconsin Power and Light Co.","Wisconsin Power and Light Co.",,"4 miles North of Albert Lea MN","201.3 MW",122,2011,Vestas,"In Service","43.7856°, -93.4522°"
"Benton County Wind Farm","Benton County Wind Farm",,,,,"Benton County, IN","130.5 MW",87,2008,"GE Wind",,"40.6919°, -87.4975°"
"Bergey Windpower Headquarters Wind Farm","Bergey Windpower Headquarters","Definition:Small Scale Wind","Bergey Windpower","Bergey Windpower","Bergey Windpower","Norman OK","0.05 MW",1,2005,"Bergey Windpower 50-kW","In Service","35.2431°, -97.4567°"
"Berkshire East Ski Area","Berkshire East Ski Area","Community Wind","Sustainable Energy Development",,"Berkshire East Ski Area","Charlemont MA","0.9 MW",1,2010,PowerWind,"In Service","42.6161°, -72.8667°"
"Berkshire Wind Farm","Berkshire Wind Farm","Commercial Scale Wind",,"Berkshire Wind Power LLC with DisGen and MTC","Consortium of municipal utilities","Brodie Mountain MA","15 MW",10,2011,,"In Service","42.6361°, -73.2444°"
Bethel,Bethel,,,,,"Castro County, TX","276 MW",120,2017,"GE Wind",,"34.5181°, -102.4169°"
"Big Blue Wind Farm","Big Blue Wind Farm","Commercial Scale Wind",Exergy,Exergy,"Xcel Energy","Blue Earth MN","36 MW",18,2012,Gamesa,"In Service","43.6433°, -94.2217°"
"Big Horn 2","Big Horn 2","Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","MSR Public Power Agency","Near Bickleton WA","50 MW",33,2010,"GE Energy","In Service","45.8719°, -120.2922°"
"Big Horn Wind Power Project","Big Horn Wind Power Project","Commercial Scale Wind","Iberdrola Renewables","PPM Energy Inc","Modesto-Santa Clara-Redding Public Power Agency","Klickitat County WA","199.5 MW",133,2006,"GE Energy","In Service","45.9358°, -120.2842°"
"Big Sky Wind Facility","Big Sky Wind Facility","Commercial Scale Wind","Edison Mission Energy","Edison Mission Energy","PJM Market","Bureau County IL","239.4 MW",132,2011,"Suzlon Energy Company","In Service","41.5800°, -89.4617°"
"Big Smile Wind Farm (Dempsey Ridge)","Big Smile Wind Farm (Dempsey Ridge)","Commercial Scale Wind",Acciona,Acciona,,"Roger Mills County OK","132 MW",66,2012,Acciona,"In Service","35.5083°, -99.7394°"
"Big Spring I Wind Farm","Big Spring I","Commercial Scale Wind",Caithness,"York Research","TXU Electric & Gas","Howard County TX","27.72 MW",42,1999,Vestas,"In Service","32.1467°, -101.3983°"
"Big Spring II Wind Farm","Big Spring II","Commercial Scale Wind",Caithness,"York Research","TXU Electric & Gas","Howard County TX","6.6 MW",4,1999,Vestas,"In Service","32.1467°, -101.3983°"
"Big Timber","Big Timber",,,,,"Sweet Grass County, MT","25.06 MW",14,2018,"GE Wind",,"45.8333°, -109.6603°"
"Big Turtle","Big Turtle",,,,,"Huron County, MI","20 MW",10,2014,Gamesa,,"43.8636°, -82.7553°"
"Big Turtle II","Big Turtle II",,,,,"Huron County, MI","29.4 MW",14,2016,Gamesa,,"43.9333°, -82.7903°"
"Big Wind Power Project (Lanai)","Big Wind Power Project (Lanai)","Commercial Scale Wind",,,,"Lanai Island HI","400 MW",170,,Undetermined,Proposed,"20.8289°, -156.9289°"
"Big Windy (Great Escape Restaurant Turbine)","Big Windy (Great Escape Restaurant Turbine)","Community Wind","Great Escape Restaurant",,,"Schiller Park IL","1 MW",0.108,2009,Micon,"In Service","41.9556°, -87.8653°"
"Biglow Canyon Phase II Wind Farm","Biglow Canyon Phase II","Commercial Scale Wind","Portland General Electric","Orion Energy Group","Portland General Electric","Sherman County OR","149.5 MW",65,2009,Siemens,"In Service","45.6375°, -120.6053°"
"Biglow Canyon Phase III Wind Farm","Biglow Canyon Phase III","Commercial Scale Wind","Portland General Electric","Orion Energy Group","Portland General Electric","Sherman County OR","174.8 MW",76,2009,Siemens,"In Service","45.6375°, -120.6053°"
"Biglow Canyon Wind Farm","Biglow Canyon Wind Farm","Commercial Scale Wind","Portland General Electric","Orion/Portland General Electric","Portland General Electric","Sherman County OR","125.4 MW",76,2007,Vestas,"In Service","45.6289°, -120.6056°"
"Bingham Lake Wind Farm","Bingham Lake Wind Farm","Commercial Scale Wind","Edison Mission Group owns majority","Edison Mission Group","Alliant Energy","Bingham Lake MN","15 MW",12,2006,"Suzlon Energy Company","In Service","43.9089°, -95.0464°"
"Bingham Wind","Bingham Wind",,,,,"Somerset County, ME","184.8 MW",56,2016,Vestas,,"45.1497°, -69.6789°"
"Birch Power LLC","Birch Power LLC",,,,,"Taylor County, IA","1.79 MW",1,2017,"GE Wind",,"40.7678°, -94.4744°"
"Bishop Hill I","Bishop Hill I","Commercial Scale Wind",Ivenergy,Ivenergy,"Tennessee Valley Authority","Altona IL","209 MW",,2012,"GE Energy","In Service","41.1597°, -90.1006°"
"Bishop Hill II","Bishop Hill II","Commercial Scale Wind","MidAmerican Energy",Ivenergy,"Ameren Illinois","Cambridge IL","80 MW",50,2012,"GE Energy","In Service","41.2444°, -90.0933°"
"Bison 1B (2011)","Bison 1B (2011)",,,,,"Oliver County, ND","21 MW",7,2011,Siemens,,"46.9822°, -101.5386°"
"Bison Wind 1B","Bison Wind 1B","Commercial Scale Wind","Minnesota Power","Minnesota Power","Minnesota Power","McIntosh ND","45 MW",15,2012,Siemens,"In Service","46.0000°, -101.5000°"
"Bison Wind 2","Bison Wind 2","Commercial Scale Wind","Minnesota Power","Minnesota Power","Minnesota Power","New Salem ND","105 MW",35,2012,Siemens,"In Service","46.9633°, -101.5031°"
"Bison Wind 2A","Bison Wind 2A","Commercial Scale Wind",,"Minnesota Windpower","Minnesota Windpower","Northwest of New Salem ND","37.95 MW",15,2012,Siemens,"In Service","46.9814°, -101.5075°"
"Bison Wind 3","Bison Wind 3","Commercial Scale Wind","Minnesota Power","Minnesota Power","Minnesota Power","New Salem ND","105 MW",35,2012,Siemens,"In Service","46.9392°, -101.5128°"
"Bison Wind 4","Bison Wind 4",,,,,"Oliver County, ND","204.8 MW",64,2014,Siemens,,"47.0183°, -101.7131°"
"Bison Wind Farm 1A","Bison Wind 1A","Commercial Scale Wind","Minnesota Power","Minnesota Windpower","Minnesota Windpower","Northwest of New Salem ND","75.9 MW",33,2011,Siemens,"In Service","46.9814°, -101.5075°"
"Bitworks Wind Farm",Bitworks,"Definition:Small Scale Wind","Bitworks Inc.","Bitworks Inc.","Bitworks Inc.","Washington County AR","0.1 MW",1,2003,"NEG Micon","In Service","35.9767°, -94.3169°"
"Black Oak Getty","Black Oak Getty",,,,,"Stearns County, MN","78 MW",39,2016,Vestas,,"45.6478°, -95.0269°"
"Blackfeet Nation Wind Farm","Blackfeet Nation","Definition:Small Scale Wind",,,,"Blackfeet Reservation MT","0.1 MW",1,1996,Vestas,"In Service","48.5547°, -113.0106°"
Blackwell,Blackwell,"Commercial Scale Wind","NextEra Energy Resources","NextEra Energy Resources","Oklahoma State University via Oklahoma Gas & Electric","Nardin OK","59.8 MW",26,2012,Siemens,"In Service","36.8525°, -97.4331°"
"Block Island Wind Farm","Block Island Wind Farm","Commercial Scale Wind",,"Deepwater Wind",,"Offshore from Block Island RI","20 MW",8,,Undetermined,Proposed,"41.1000°, -71.5300°"
Bloom,Bloom,,,,,"Ford County, KS","178.2 MW",54,2017,Vestas,,"37.4842°, -99.9917°"
"Blue Breezes I & II Wind Farm","Blue Breezes I & II","Community Wind","John Deere Wind Energy","Dan Moore/John Deere Wind Energy","City of Blue Earth","City of Blue Earth MN","2.5 MW",2,2006,"Suzlon Energy Company","In Service","43.6353°, -94.0942°"
"Blue Canyon II Wind Farm","Blue Canyon II","Commercial Scale Wind","Horizon Wind Energy","Horizon Wind Energy","American Electric Power","North of Lawton OK","151.2 MW",84,2005,Vestas,"In Service","34.8583°, -98.5475°"
"Blue Canyon V Wind Farm","Blue Canyon V","Commercial Scale Wind",Horizon-EDPR,Horizon-EDPR,"Public Service of Oklahoma","Caddo & Comanche Counties OK","99 MW",66,2009,"GE Energy","In Service","34.8583°, -98.5475°"
"Blue Canyon VI","Blue Canyon VI","Commercial Scale Wind","EDP Renewables North America LLC","EDP Renewables North America LLC",Merchant,"Lawton OK","99 MW",55,2011,Vestas,"In Service","34.8583°, -98.5475°"
"Blue Canyon Wind Farm","Blue Canyon","Commercial Scale Wind","Babcock & Brown/Horizon","Zilkha Renewable/Kirmart Corp.","Western Farmers' Electric Cooperative","North of Lawton OK","74.25 MW",45,2003,"NEG Micon","In Service","34.8528°, -98.5519°"
"Blue Creek Wind Farm","Blue Creek Wind Farm","Commercial Scale Wind","Iberdrola Renewables","Iberdrola Renewables","First Energy Solutions","Van Wert County OH","304 MW",152,2012,Gamesa,"In Service","41.0183°, -84.6153°"
"Blue Sky Green Field Wind Farm","Blue Sky Green Field Wind Farm","Commercial Scale Wind","We Energies","We Energies","We Energies","Fond du Lac County WI","145.2 MW",88,2008,Vestas,"In Service","43.9086°, -88.3053°"
